fecha_hora,segundos,temperatura,meta_temp,humedad,meta_hum,foco,ingreso,humidificador,extractor
2026-09-02 05:59:14,404.8,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:16,406.8,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:18,408.8,21.6,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:20,410.8,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:22,412.8,21.6,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:24,414.8,21.6,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:26,416.8,21.6,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:28,418.8,21.6,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:30,420.8,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:32,422.9,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:34,424.9,21.6,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:36,426.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:38,428.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:40,430.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:42,432.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:44,434.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:46,436.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:48,438.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:50,440.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:52,442.9,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:55,444.9,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 05:59:57,446.9,21.5,22.0,46.5,50.0,0,0,0,0
2026-09-02 05:59:59,448.9,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:01,450.9,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:03,453.0,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:05,455.0,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:07,457.0,21.5,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:09,459.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:11,461.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:13,463.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:15,465.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:17,467.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:19,469.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:21,471.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:23,473.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:25,475.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:27,477.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:29,479.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:31,481.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:33,483.0,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:35,485.1,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:37,487.1,21.4,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:39,489.1,21.4,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:41,491.1,21.4,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:43,493.1,21.3,22.0,46.6,50.0,0,0,0,0
2026-09-02 06:00:45,495.1,21.3,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:47,497.1,21.3,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:49,499.1,21.3,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:51,501.1,21.3,22.0,46.7,50.0,0,0,0,0
2026-09-02 06:00:53,503.1,21.3,20.5,46.7,50.0,0,0,0,0
