date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm,motivo_error
2024-05-08,10:58:00,110.5,919.0,38.5,808.5,1715183779.0,Cola Scavenger L1,14.328,0.237,0.0,0.056,0.0,4.76,C_01_S04,10:58,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-08 a las 10:58.
2024-05-15,10:42:00,108.5,920.5,79.0,812.0,1715787576.0,Cola Scavenger L1,19.308,0.192,0.0,0.02,0.0,9.73,C_01_S04,10:42,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-15 a las 10:42.
2024-05-17,10:48:00,110.5,1121.5,137.0,1011.0,1715960373.0,Cola Scavenger L1,22.648,0.14,0.0,0.012,0.0,13.55,C_01_S04,10:48,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-17 a las 10:48.
2024-05-20,11:10:00,108.5,1102.5,142.5,994.0,,Cola Scavenger L1,14.109,0.15,0.0,0.015,0.0,14.34,C_01_S04,11:10,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-20 a las 11:10.
2024-05-22,15:21:00,108.5,1098.0,123.5,989.5,1716408804.0,Cola Scavenger L1,16.245,0.166,0.0,0.012,0.0,12.48,C_01_S04,15:21,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-22 a las 15:21.
2024-05-24,10:54:00,110.0,958.0,315.0,848.0,1716568100.0,Concentrado Primario L1,25.973,14.982,0.36,0.353,20.5,37.15,C_01_S15,10:54,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-24 a las 10:54.
2024-05-24,11:34:00,110.5,1085.5,88.0,975.0,1716568091.0,Cola Scavenger L1,10.962,0.288,0.0,0.02,0.0,9.03,C_01_S04,11:34,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-24 a las 11:34.
2024-05-25,11:02:00,110.0,887.5,303.5,777.5,1716825665.0,Rebose Hidrociclones L2,2.942,0.651,0.013,0.018,0.0,39.04,C_01_S02,11:02,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-25 a las 11:02.
2024-05-27,10:42:00,110.5,1112.0,130.5,1001.5,1716824231.0,Cola Scavenger L1,9.073,0.13,0.0,0.006,0.0,13.03,C_01_S04,10:42,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-27 a las 10:42.
2024-05-27,11:48:00,110.0,940.0,289.0,830.0,1716825054.0,Concentrado Primario L1,25.056,17.346,0.0,0.563,25.44,34.82,C_01_S15,11:48,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-27 a las 11:48.
2024-05-27,22:47:00,110.0,861.5,190.0,751.5,1716824693.0,Concentrado Colectivo,29.625,22.599,0.0,0.697,10.7,25.28,C_01_S10,22:47,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-27 a las 22:47.
2024-05-27,22:50:00,110.0,807.5,159.0,697.5,1716824709.0,Concentrado 1ra Limpieza L2,29.648,19.725,0.0,0.659,13.54,22.8,C_01_S09,22:50,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-27 a las 22:50.
