date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm
2024-01-03,13:05:00,110.0,978.5,296.5,868.5,5784.0,Concentrado Colectivo,29.39,23.383,0.096,1.54,10.9,34.14,C_01_S10,13:05
2024-01-05,11:40:00,111.5,851.0,215.5,739.5,5793.0,Concentrado Colectivo,28.04,24.212,0.102,0.64,9.32,29.14,C_01_S10,11:40
2024-01-08,12:00:00,110.0,827.0,194.5,717.0,5806.0,Concentrado Colectivo,28.05,23.236,0.082,1.07,9.08,27.13,C_01_S10,12:00
2024-01-15,17:24:00,110.0,770.0,137.5,660.0,5815.0,Concentrado Colectivo,26.07,21.344,0.073,1.577,17.7,20.83,C_01_S10,17:24
2024-01-17,10:37:00,110.0,795.5,188.0,685.5,5826.0,Concentrado Colectivo,26.49,28.662,0.067,1.942,6.78,27.43,C_01_S10,10:37
2024-02-01,16:42:00,111.5,800.0,136.5,688.5,5838.0,Concentrado Colectivo,28.16,25.527,0.087,2.032,10.0,19.83,C_01_S10,16:42
2024-02-02,11:11:00,110.0,859.0,204.5,749.0,5847.0,Concentrado Colectivo,27.48,24.892,0.082,2.61,11.2,27.3,C_01_S10,11:11
2024-02-05,11:28:00,111.5,865.0,191.5,753.5,5854.0,Concentrado Colectivo,30.96,27.93,0.163,0.689,7.0,25.41,C_01_S10,11:28
2024-02-06,10:02:00,110.5,847.5,179.5,737.0,5863.0,Concentrado Colectivo,29.94,27.244,0.105,0.907,8.04,24.36,C_01_S10,10:02
2024-02-07,15:46:00,110.0,921.5,226.0,811.5,5870.0,Concentrado Colectivo,26.52,20.854,0.062,1.16,14.6,27.85,C_01_S10,15:46
2024-02-09,10:25:00,110.0,840.0,244.0,730.0,5877.0,Concentrado Colectivo,29.75,22.82,0.071,0.96,11.0,33.42,C_01_S10,10:25
2024-02-19,15:45:00,111.0,818.0,132.5,707.0,5899.0,Concentrado Colectivo,26.13,23.58,0.092,1.015,12.1,18.74,C_01_S10,15:45
2024-02-21,10:36:00,110.0,860.5,224.5,750.5,5907.0,Concentrado Colectivo,30.26,24.38,0.167,0.82,8.88,29.91,C_01_S10,10:36
2024-02-28,16:14:00,110.0,870.0,216.0,760.0,5917.0,Concentrado Colectivo,29.307,20.32,0.128,1.1,11.1,28.42,C_01_S10,16:14
2024-03-13,1:32:00,110.0,819.5,137.5,709.5,,Concentrado Colectivo,28.865,25.869,0.256,1.61,8.7,19.38,C_01_S10,01:32
2024-03-13,11:07:00,111.0,882.5,209.5,771.5,,Concentrado Colectivo,28.97,28.466,0.0,1.48,5.94,27.15,C_01_S10,11:07
2024-03-15,15:30:00,110.0,930.0,320.0,820.0,,Concentrado Colectivo,30.034,25.969,0.118,1.23,5.64,39.02,C_01_S10,15:30
2024-03-18,11:19:00,110.0,834.5,149.0,724.5,,Concentrado Colectivo,27.525,24.676,0.114,2.23,0.0,20.57,C_01_S10,11:19
2024-03-20,12:29:00,110.0,867.0,216.0,757.0,,Concentrado Colectivo,31.396,24.879,0.27,1.131,10.42,28.53,C_01_S10,12:29
2024-03-25,12:42:00,110.0,888.5,267.0,778.5,1711388480.0,Concentrado Colectivo,31.141,21.608,0.0,1.068,0.0,34.3,C_01_S10,12:42
2024-03-27,12:39:00,110.0,885.0,218.5,775.0,1711560218.0,Concentrado Colectivo,30.551,21.856,0.13,0.85,11.22,28.19,C_01_S10,12:39
2024-03-29,12:10:00,110.0,785.5,53.0,675.5,1711731675.0,Concentrado Colectivo,29.67,24.095,0.087,1.382,9.78,7.85,C_01_S10,12:10
2024-04-01,18:04:00,110.0,878.0,237.0,768.0,1712012063.0,Concentrado Colectivo,27.213,24.014,0.062,1.245,12.06,30.86,C_01_S10,18:04
2024-04-03,11:32:00,111.0,843.5,177.5,732.5,1712161265.0,Concentrado Colectivo,27.296,27.487,0.086,1.488,8.28,24.23,C_01_S10,11:32
2024-04-08,11:23:00,111.0,894.5,225.5,783.5,1712592754.0,Concentrado Colectivo,29.696,26.961,0.0,1.312,7.52,28.78,C_01_S10,11:23
